name,difficulty_level,exercise_type,instructions,video_url,image_url
Kettlebell swing,intermediate,strength,"The kettlebell swing is a popular lower-body exercise emphasizing the hamstrings, glutes, and back muscles. It is often used to train explosive power, for aerobic or cardiovascular conditioning, in circuit training, or as an accessory movement for the deadlift.",,
Two-way swing,intermediate,strength,"The two-way kettlebell swing is an exercise that alternates a chest-height kettlebell swing (sometimes called a ""Russian"" or ""hardstyle"" swing) with an overhead kettlebell swing (sometimes called an ""American"" swing). Both swing variations work many of the same muscles, such as the hamstrings, glutes, and core, but because the weight must travel farther in the overhead swing, it's slightly more metabolically demanding and works the upper back and shoulders more. This combo can be performed for time or reps and works especially well in circuit-style or full-body training. If you can't perform the overhead swing without lower back or shoulder pain, just perform the chest-height swing.",,
Kettlebell crab reach,intermediate,strength,"The kettlebell crab reach is a kettlebell pressing exercise in which the lifter presses a kettlebell overhead while in a modified single-arm bridge position. The simple addition of a weight makes the reach far more difficult, challenging the muscles of the back, shoulders, glutes, and core.",,
Taylor Single-Arm Kettlebell Swing,intermediate,strength,,,
Holman Kettlebell Up to Elbow Down,intermediate,strength,,,
FYR2 Double-Kettlebell Ski,intermediate,strength,,,
FYR2 Kettlebell Hike,intermediate,strength,,,
FYR2 Kettlebell Cross-Body Catch,intermediate,strength,,,
FYR2 Kettlebell Duck Walk,intermediate,strength,,,
FYR2 Kettlebell Get-Up Reach,intermediate,strength,,,
FYR2 Kettlebell Juggle,intermediate,strength,,,
FYR2 Squat-Clean-Alternating-Press Complex,intermediate,strength,,,
Dumbbell V-Sit Cross Jab,intermediate,strength,"The dumbbell V-sit cross jab is a hybrid movement that trains the abdominal and shoulder muscles simultaneously. It can address multiple muscle groups in a time-efficient muscle-building or circuit-style workout, while also providing a cardiovascular challenge.",,
Dumbbell spell caster,beginner,strength,"The dumbbell spell caster is an exercise that primarily targets the abdominal muscles such as the obliques. However, it also works shoulders, back, hips, and legs, and demands all of those muscles work together in a coordinated motion. It is usually performed with relatively light weights for moderate to high reps, at least 8-12 reps per side. Make sure to only use a weight you can control.",,
Dumbbell side bend,intermediate,strength,"The dumbbell side bend is a popular exercise for targeting the oblique muscles of the abdomen. It is usually performed for relatively high reps, at least 8-12 reps per set or more. It can be performed one side at a time or alternating sides.",,
Dumbbell crunch,intermediate,strength,"The dumbbell crunch is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the crunch far more difficult, providing a different stimulus to the core during training.",,
Dumbbell Fix Dumbbell Sprawl,intermediate,strength,,,
Dumbbell Fix Alternating Renegade Row,intermediate,strength,,,
Dumbbell Fix Dumbbell Mountain Climber,intermediate,strength,,,
Dumbbell Fix Dumbbell Russian Twist,intermediate,strength,,,
Dumbbell Fix Dumbbell Pull-Over,intermediate,strength,,,
Dumbbell Fix Dumbbell Sit-Up,intermediate,strength,,,
Dumbbell Fix Dumbbell Front Squat,intermediate,strength,,,
Dumbbell Fix Full Man Maker,intermediate,strength,,,
Dumbbell T-hold,intermediate,strength,"The dumbbell T-hold is a static exercise that primarily targets the obliques, although it also works the shoulders and upper back. It involves holding a dumbbell in the air while in a side plank position. It is usually performed for timed holds, although it can be performed dynamically for reps as a plank with dumbbell rotation.",,
Dumbbell hollow-body floor press,intermediate,strength,The dumbbell hollow-body floor press combines upper-body strength and core work in one move.,,
Dumbbell crusher,intermediate,strength,"The dumbbell crusher is a dumbbell complex that combines a squat with a dumbbell curl, followed by a triceps press. It targets the legs, glutes, biceps, shoulders, and triceps in a single sequence, making it a great way to burn serious calories and hit a lot of muscles in a short period of time. The upper-body movements will determine the amount of weight you can effectively use.",,
Dumbbell Crunch - Gethin Variation,intermediate,strength,"The dumbbell crunch is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the crunch far more difficult, providing a different stimulus to the core during training.",,
Single-arm dumbbell crunch,intermediate,strength,"The single-arm dumbbell crunch is a more difficult version of a highly popular abdominal movement. Adding a weight to one side makes the crunch far more difficult to your rectus abdominis or ""six-pack"" muscles, as well as the obliques and deep core muscles.",,
HM Alternating Dumbbell Plank Row,intermediate,strength,,,
Dumbbell straight-legged hip raise,intermediate,strength,The dumbbell straight-legged hip raise works the hips and glutes. It requires and teaches body control and coordination.,,
Seated leg tuck with dumbbell,intermediate,strength,The seated leg tuck with dumbbell is an ab exercise requiring only a bench and a dumbbell. It's commonly performed for high reps as a burnout at the end of a core workout.,,
Dumbbell V-sit cross jab-,intermediate,strength,"The dumbbell V-sit cross jab is a hybrid movement that trains the abdominal and shoulder muscles simultaneously. It can address multiple muscle groups in a time-efficient muscle-building or circuit-style workout, while also providing a cardiovascular challenge.",,
30 Hanging Leg Raise With Dumbbell,intermediate,strength,,,
Dumbbell Get-Up Sit-Up,expert,strength,,,
Holman Right Side Plank with Left Triceps Press,intermediate,strength,,,
Holman Left Side Plank with Right Triceps Press,intermediate,strength,,,
Holman Boat with Feet Push-Out and Overhead Press,intermediate,strength,,,
Holman Hovering Plank Row,intermediate,strength,,,
Holman Weighted Seated Killer Abs to Russian Twist,intermediate,strength,,,
Holman Straight Plank Dumbbell Reach-Under,intermediate,strength,,,
Holman Straight-Arm Side Plank Overhead Press to Chest Press,intermediate,strength,,,
Holman Weighted Burpee to Pike,intermediate,strength,,,
Holman Straight-Legged Boat Chest Press,intermediate,strength,,,
Holman Weighted Burpee to Side Delt Raise,intermediate,strength,,,
Holman Heavy Double Pike,intermediate,strength,,,
Holman Heavy Double Split Pike,intermediate,strength,,,
MetaBurn Alternating Dumbbell Sit-Through,intermediate,strength,,,
MetaBurn Alternating Plank Row With Dumbbell Pull-Through,intermediate,strength,,,
MetaBurn Alternating Plank Row With Push-Up,intermediate,strength,,,
MetaBurn Dumbbell Russian Twist,intermediate,strength,,,
MetaBurn Dumbbell Toe-Touch,intermediate,strength,,,
MetaBurn Plank To Alternating Row,intermediate,strength,,,
Standing dumbbell knee crunch-,intermediate,strength,"The standing dumbbell knee crunch is a great way to train the abs while standing up. Additionally, the deltoids are worked because the lifter holds a pair of dumbbells overhead throughout.",,
MetaBurn Plank With Dumbbell Rotation,intermediate,strength,,,
FYR2 Dumbbell Crab Reach,intermediate,strength,,,
FYR2 Dumbbell Man-Maker,intermediate,strength,,,
FYR2 Dumbbell Sit-Up Reach,intermediate,strength,,,
FYR2 Loaded Beast Sprawl,intermediate,strength,,,
FYR2 Loaded to Unloaded Beast,intermediate,strength,,,
Lying Leg Pullover,intermediate,strength,,,
Landmine twist,intermediate,strength,"The landmine twist is a rotational abdominal movement performed using an angled barbell anchored at floor level in a landmine device. It can also be performed by sticking a barbell in the corner of a room, preferably in a towel to protect the walls. It targets the deep muscles of the core, including both the obliques and the transversus abdominis. It can be done fast or slow, for time or reps, either in traditional muscle-focused rep ranges such as 8-12 reps per side or for higher rep ranges.",,
Suspended ab fall-out,intermediate,strength,"The suspended ab fall-out is a dynamic abdominal exercise utilizing a suspension strap system or gymnastic rings. It is similar in form to an ab roller, but can more easily be scaled to be more or less difficult. It targets the muscles of the rectus abdominis or ""six-pack"" muscles, as well as the deep core muscles. It can be trained for low reps for strength or higher reps for muscle definition.",,
Decline reverse crunch,intermediate,strength,"The decline reverse crunch is a popular bodyweight exercise targeting the abdominal muscles, particularly the lower abs. It is usually performed for high reps, such as 10-15 reps per set or more, as part of the ab-focused portion of a workout.",,
Plate Twist,beginner,strength,,,
Weighted Crunches,intermediate,strength,"The weighted suitcase crunch is a weighted version of a popular abdominal training exercise. The simple addition of a weight makes the suitcase crunch far more difficult, helping build the ""six pack"" muscles and providing a different stimulus to the core during training.",,
Ab Roller,intermediate,strength,"The ab wheel roll-out is an exercise targeting the abdominals, often with an inexpensive wheel device with a handle on either side. Many trainers and strength coaches claim it's one of, if no the best exercise for developing strength in the midsection. Beginners may have to start with a limited range of motion or just wheel planks.",,
Otis-Up,intermediate,strength,"The Otis-up is a weighted exercise focusing on the abdominal muscles, as well as the shoulders to a lesser degree. It primarily targets the rectus abdominus or “six-pack” muscles, but also involves the obliques and deep core muscles. It is normally performed on a decline bench holding a weight plate, but can also be performed with a dumbbell, kettlebell, or other weight.",,
Captain's chair knee raise,intermediate,strength,"The captain's chair knee raise is a bodyweight exercise that targets the abs. It is performed on an apparatus that allows the forearms to rest on pads and the upright torso to hang freely. Knee raises are often performed for moderate to high reps, such as 8-12 reps or more, as part of ab-focused training.",,
Sledgehammer swing,intermediate,plyometrics,The sledgehammer swing is an exercise working the abdominals and numerous other muscles. The sledgehammer is slammed from overhead onto a tire which absorbs the impact and causes the hammer to bounce back up. It can be performed for time or reps as part of a functional fitness or athleticism-focused workout.,,
Pallof press,intermediate,strength,"The Pallof press is an isometric exercise that trains core stability. It involves resisting rotation from a cable or band, developing what is sometimes called ""anti-rotation"" core strength. It is most often seen in programs for athletes who compete in sports that test strength, power, and functional movements. It can be trained in timed holds or for reps by pressing the cable or band away from the body.",,
Weighted Sit-Ups - With Bands,intermediate,strength,"The weighted sit-up is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the sit-up far more difficult, providing a different stimulus to the core during training and helping build strong abs.",,
Suitcase crunch,intermediate,strength,"The suitcase crunch is a bodyweight movement that targets the muscles of the abs, the rectus abdominis or ""six-pack"" muscles in particular. It is similar to a V-up, but the lower back stays flat against the ground. It can be performed for time or reps in the ab-focused portion of any workout.",,
FYR Rope Jumping,intermediate,strength,"Jumping rope is classic conditioning exercise that is popular with everyone from children to boxers to CrossFit athletes. It targets many different muscles, including the calves, glutes, shoulders, and upper back, and is great for everything from fat loss to improving overall athletic performance.",,
Barbell press sit-up,intermediate,strength,"The barbell press sit-up is a weighted exercise focusing on the abdominal muscles, as well as the shoulders to a lesser degree. It primarily targets the rectus abdominis or ""six-pack"" muscles, but also involves the obliques and deep core muscles. It can be performed on the floor with the feet anchored or unanchored, or on a decline or other bench. It is similar to the Otis-up, which is performed with a weight plate.",,
Single-arm bent-over rear delt fly,intermediate,strength,"The single-arm bent-over rear delt fly is a popular upper-body exercise that targets the muscles on the back of the shoulder joint, specifically the rear head of the deltoid. Since pressing movements build the front and (to a lesser degree) side deltoid heads, this move is often done to promote balanced shoulder development. It is usually performed for high reps, such as 10-15 reps per set or more, as part of a shoulder or upper-body workout.",,
Captain's chair leg raise,intermediate,strength,"The captain's chair leg raise is a bodyweight exercise that targets the abs. It is performed on an apparatus that allows the forearms to rest on pads and the upright torso to hang freely. Leg raise variations are often performed for moderate to high reps, such as 8-12 reps or more, as part of ab-focused training.",,
Shoulder-Elevated One-Leg Hip Thrusts,intermediate,strength,,,
Ab Twist - Gethin Variation,intermediate,strength,"The cross-body sit-up is a bodyweight exercise targeting the ab muscles, the obliques and rectus abdominis or ""six-pack"" muscles in particular. It involves bringing the opposite-side knee and elbow together, usually alternating sides with each rep. It can be performed for time or reps as part of the ab-focused portion of any workout.",,
Weighted Crunch - Gethin Variation,intermediate,strength,"The weighted sit-up is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the sit-up far more difficult, providing a different stimulus to the core during training and helping build strong abs.",,
Ab Wheel Roll-Out - Gethin Variation,intermediate,strength,"The ab wheel roll-out is an exercise targeting the abdominals, often with an inexpensive wheel device with a handle on either side. Many trainers and strength coaches claim it's one of, if no the best exercise for developing strength in the midsection. Beginners may have to start with a limited range of motion or just wheel planks.",,
Bench crunch,intermediate,strength,"The bench crunch is a popular ab exercise performed lying on a bench. It is largely similar to the same exercise performed on the floor, but being able to press the lower back into the bench pad can help reinforce proper form and increase the burn in the abs. Like most crunch variations, it is usually performed for moderate to high reps, such as 8-12 reps per set or more.",,
Decline plate sit-up twist,intermediate,strength,"The decline plate sit-up twist is a weighted core exercise that works the obliques and rectus abdominis or ""six pack"" muscles, as well as the deep core muscles. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.",,
Reverse ab roll-out,intermediate,strength,"The reverse ab roll-out is an exercise targeting the abdominals. It's a twist on the ab wheel roll-out, and is similar to a body saw exercise, only performed on a foam roller. Instead of your arms moving and your lower body remaining stationary, your lower body moves and your arms remain stationary. Beginners may need to use a limited range of motion.",,
30 Seated Twist With PVC Pipe,intermediate,strength,The seated bar twist is a core exercise aiming to strengthen the obliques.,,
Suspended crunch-,intermediate,strength,"The suspended crunch is an abdominal exercise performed with the feet in the stirrups of a suspension strap system. It targets the muscles of the core, most prominently the rectus abdominis or ""six-pack"" muscles, but also taxes the shoulders and deep core muscles.",,
Suspended oblique crunch,intermediate,strength,"The suspended oblique crunch is an abdominal exercise performed with the feet in the stirrups of a suspension strap system. It targets the muscles of the core, most prominently the obliques, but also the rectus abdominis or ""six-pack"" muscles, the shoulders, and deep core muscles.",,
Weighted sit-up,intermediate,strength,"The weighted sit-up is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the sit-up far more difficult, providing a different stimulus to the core during training and helping build strong abs.",,
30 Decline Press Sit-Up,intermediate,strength,The decline bar press sit-up is a core and upper body exercise targeting the lower abdominals and shoulders.,,
Holman Towel Reverse Plank Alternating Heel Pull-in,intermediate,strength,,,
Holman Boat with Weighted Cross Punch,intermediate,strength,,,
Holman Weighted Hook Punch,intermediate,strength,,,
Holman Weighted Traveling Punch,intermediate,strength,,,
Holman Weighted Uppercut Punch,intermediate,strength,,,
Holman Slow Weighted Double Pike,intermediate,strength,,,
Holman Plate Straight Plank Reach,intermediate,strength,,,
Holman Plate Elbow Plank Jack to Straight Plank Jack,intermediate,strength,,,
Holman Plate Hill Climber,intermediate,strength,,,
Holman Plate Reverse Plank Hill Climber,intermediate,strength,,,
Holman Plate Straight Plank Pike to Jack,intermediate,strength,,,
Holman Plate In-and-Out Push-Up,intermediate,strength,,,
Holman Plate Burpee,intermediate,strength,,,
Holman Plate Elbow Plank Reach,intermediate,strength,,,
Holman Elbow Plank to Renegade Row,intermediate,strength,,,
Holman Straight Plank Weighted Hand Hill Climber,intermediate,strength,,,
Holman Weighted Left Side Diagonal Pike,intermediate,strength,,,
Holman Weighted Right Side Diagonal Pike,intermediate,strength,,,
Holman Weighted W-Boat to Overhead Press,intermediate,strength,,,
Holman Weighted Kneeling Lift,intermediate,strength,,,
Holman Hips-Up Weighted Pull-Over,intermediate,strength,,,
Holman Weighted Cross Punch,intermediate,strength,,,
Holman Straight-Leg Boat Hover Chest Press,intermediate,strength,,,
Holman Weighted Pike,intermediate,strength,,,
Holman Feet-Elevated Wax-On Wax-Off,intermediate,strength,,,
Holman Elbow Plank to Towel Pike,intermediate,strength,,,
Holman Seated Killer Abs Overhead Press,intermediate,strength,,,
Holman Straight Plank Alternating Weighted Open,intermediate,strength,,,
Holman Weighted Killer Abs with Overhead Press,intermediate,strength,,,
Holman Weighted Split-Leg Pike,intermediate,strength,,,
Holman Towel Reverse Plank Heel Pull-in,intermediate,strength,,,
Stick Twist,intermediate,strength,,,
Roc Everest,intermediate,cardio,,,
Standing cable low-to-high twist,intermediate,strength,"The standing cable low-to-high twist is a core exercise targeting the upper abdominals and the obliques. Take care to perform it with control, as opposed to violent twisting which can injure the back. It is usually performed for moderate to high reps, at least 8-15 per side, as part of the core-focused portion of a workout.",,
Single-arm high-cable side bend,intermediate,strength,The single-arm high-cable side bend is an exercise targeting the obliques using a cable stack machine.,,
Kneeling cable oblique crunch,intermediate,strength,"The kneeling cable oblique crunch is a popular core isolation exercise using a rope attachment and cable stack while kneeling on the floor. It primarily targets the obliques and rectus abdominis or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed for moderate to high reps, such as 8-12 reps per set or higher.",,
Kneeling cable crunch,intermediate,strength,"The kneeling cable crunch is a popular core isolation exercise using a rope attachment and cable stack while kneeling on the floor. It primarily targets the rectus abdominis or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed early in an ab workout, usually in moderate to high reps, such as 8-12 reps per set or higher.",,
Rope Crunch,intermediate,strength,"The kneeling cable crunch is a popular core isolation exercise using a rope attachment and cable stack while kneeling on the floor. It primarily targets the rectus abdominus or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed early in an ab workout, usually in moderate to high reps like 8-12 reps per set or higher.",,
Standing cable crunch,intermediate,strength,"The standing cable crunch is a popular core isolation exercise using a rope attachment. It primarily targets the rectus abdominis or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed early in an ab workout, usually in moderate to high reps, such as 8-12 reps per set or higher.",,
Bosu Ball Cable Crunch With Side Bends,beginner,strength,,,
Standing Cable Wood Chop,intermediate,strength,The standing cable high-to-low twist is a core exercise targeting the lower abdominals and the obliques.,,
Cable reverse crunch,beginner,strength,"The cable reverse crunch is performed on the ground facing away from a high pulley, which helps target the lower abdominals specifically.",,
Cable Russian Twists,beginner,strength,,,
Pallof press with rotation,intermediate,strength,The Pallof press with rotation is a dynamic variation of the Pallof press that incorporates weighted rotation away from the torso using resistance from a cable pulley. It is intended to build abdominal strength and teach proper bracing. It can be performed for time or for reps in the core-focused portion of any workout.,,
Cable Seated Crunch,beginner,strength,,,
Cable Judo Flip,beginner,strength,,,
Exercise Ball Cable Crunch - Gethin Variation,intermediate,strength,"The exercise ball crunch is a popular gym exercise targeting the abdominals. Unlike crunches on the floor or a bench, by using a ball, you can increase the range of motion and both stretch and contract the abs on every rep. The ball crunch can be performed for low reps with a slower tempo, focusing on a hard contraction, or for higher reps.",,
Standing cable high-to-low twist,intermediate,strength,"The standing cable high-to-low twist is a core exercise targeting the lower abdominals and the obliques. Take care to perform it with control, as opposed to violent twisting which can injure the back. It is usually performed for moderate to high reps, at least 8-15 per side, as part of the core-focused portion of a workout.",,
Bent-Over Reverse Cable Fly,intermediate,strength,,,
Standing Cable Crunch - Gethin Variation,intermediate,strength,"The standing cable crunch is a popular core isolation exercise using a rope attachment. It primarily targets the rectus abdominus or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed early in an ab workout, usually in moderate to high reps like 8-12 reps per set or higher.",,
AM Cable Crunch,intermediate,strength,"The kneeling cable crunch is a popular core isolation exercise using a rope attachment and cable stack while kneeling on the floor. It primarily targets the rectus abdominus or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed early in an ab workout, usually in moderate to high reps like 8-12 reps per set or higher.",,
Tyler Holt Weighted Knee-To-Chest Crunch,intermediate,strength,,,
Standing cable twist,intermediate,strength,"The standing cable twist is a core exercise that targets the abdominals, particularly the obliques. Take care to perform it with control, as opposed to violent twisting which can injure the back. It is usually performed for moderate to high reps, at least 8-15 per side, as part of the core-focused portion of a workout.",,
30 Cable Rope Crunch,intermediate,strength,"The kneeling cable crunch is a popular core isolation exercise using a rope attachment and cable stack while kneeling on the floor. It primarily targets the rectus abdominus or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed early in an ab workout, usually in moderate to high reps like 8-12 reps per set or higher.",,
30 Cable Rope Oblique Crunch,intermediate,strength,"The kneeling cable oblique crunch is a popular core isolation exercise using a rope attachment and cable stack while kneeling on the floor. It primarily targets the obliques and rectus abdominus or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed for moderate to high reps like 8-12 reps per set or higher.",,
Cable lying twist on ball,intermediate,strength,The cable lying twist on ball is an exercise targeting the core and obliques with the added challenge of stability to keep from losing position on the unstable surface.,,
30 Cable Pallof Press,intermediate,strength,"The pallof press is an anti-rotation, isometric exercise that trains core stability. It is most often seen in programs for athletes who compete in sports that test strength, power, and functional movements.",,
30 Cable Reverse Crunch On Ball,intermediate,strength,"The cable reverse crunch on a BOSU is performed on top of a BOSU ball between two cable pulleys, which helps target the lower abdominals specifically and is more proprioceptively challenging than a cable reverse crunch on the floor.",,
30 Cable Reverse Crunch,intermediate,strength,"The cable reverse crunch is performed on the ground facing away from a high pulley, which helps target the lower abdominals specifically.",,
Tyler Holt Cable Torso Twist,intermediate,strength,,,
Single-Arm Cable Outward-Facing Biceps Curl,intermediate,strength,The single-arm cable outward-facing biceps curl is a cable exercise that targets the biceps. It is performed standing in front of a cable machine facing away from the cable stack to increase the range of motion by fully extending the elbows. This movement is usually performed for moderate to high reps for a burn and pump as part of an arm-focused workout.,,
Biceps Rope Curl,intermediate,strength,,,
Kneeling Cable Crunches,intermediate,strength,,,
Ab Crunch Machine,intermediate,strength,"The machine crunch is a machine-based exercise targeting the abdominal muscles. It involves sitting upright in the machine and curling the torso down toward the chest against some pre-set level of resistance. On some machines, the knees also curl up torward the torso. Crunch machines usually use extra resistance in the form of selectorized weight stacks or plate loading, and are often performed for moderate to high reps, like 8-12 reps per set or higher, as part of the ab-focused portion of a workout.",,
Smith machine straight-legged hip raise,intermediate,strength,"The Smith machine straight-legged hip raise is an exercise targeting the abdominal muscles. Because of the potential awkwardness of getting into position, it is usually performed for moderate to high reps, such as 8-12 reps per set or more. If your Smith machine has safety bars, set them at a height that allows you a full range of motion while giving adequate protection from the weight potentially falling.",,
Machine crunch,intermediate,strength,"The machine crunch is a machine-based exercise targeting the abdominal muscles. It involves sitting upright in the machine and curling the torso down against a pre-set level of resistance. On some machines, the knees also curl up toward the torso. Crunch machines usually use extra resistance in the form of selectorized weight stacks or plate loading, and are often performed for moderate to high reps, such as 8-12 reps per set or more, as part of the ab-focused portion of a workout.",,
AM Ab Machine,intermediate,strength,,,
Smith machine V-up,intermediate,strength,The smith machine V-up is a weighted abdominal exercise that involves pressing a weighted bar upward while performing a V-up. Performing it in a Smith machine eliminates the balance challenge of a free weight. It is usually performed for moderate to high reps in the ab-focused portion of a workout.,,
Elbow plank,intermediate,strength,"The elbow plank is a popular isometric abdominal exercise. It is common in all types of exercise programs, as well as in group fitness and yoga classes. It targets the muscles of the core, the deep core or transversus abdominis in particular. It is also often prescribed for time to help back pain or to teach proper bracing.",,
Bottoms Up,intermediate,strength,"The lying leg lift is a popular bodyweight exercise targeting the muscles of the abs, the rectus abdominis or “six-pack” muscles in particular. It can be performed for time or reps in the core-focused portion of any workout.",,
Spider crawl,intermediate,strength,"The spider crawl is a bodyweight exercise that involves crawling on the floor with the knees outside of the elbows. It is different from a leopard crawl in that the hips are higher, and it's different from a bear crawl because the knees are wider. It can be done as a full-body warm-up, in short bursts for power or circuit training, or for longer durations as cardiovascular conditioning.",,
