exercise_name,muscular_group_name
Wall mountain climber,abdominals
Skin The Cat To Push-Up,abdominals
Partner lying leg raise with lateral throw down,abdominals
Hanging leg raise with throw down,abdominals
Partner sit-up with high-five,abdominals
Exercise ball knee roll-in,abdominals
Partner lying leg raise with throw down,abdominals
Crab toe-touch,abdominals
Side kick-through,abdominals
Partner target sit-up,abdominals
Suspended Crunch,abdominals
Jump Lunge,abdominals
Side plank hip dip,abdominals
Elbow plank jack,abdominals
Exercise ball V-up,abdominals
Standing torso twist stretch,abdominals
Slalom jumps,abdominals
Bear crawl,abdominals
Crab single-arm reach,abdominals
Side lunge cross-body heel-touch,abdominals
Alligator Crawl,abdominals
Lying cross-over lower back stretch,abdominals
Half bird dog,abdominals
Shoulder tap,abdominals
Double crunch,abdominals
Flutter kick,abdominals
Sprawl,abdominals
Spider plank jack,abdominals
Pillar-To-Plank,abdominals
Alternating High Knee Raise,abdominals
Sumo Squat Pulse,abdominals
Line-Drill Foot Work,abdominals
Plank Fire Hydrants,abdominals
Banded jumping jack,abdominals
Shin hug,abdominals
FYR Bear Crawl Fire Feet,abdominals
Bear crawl up-down,abdominals
FYR Crab Kick,abdominals
Bear crawl hold,abdominals
Traveling bear crawl,abdominals
Single-leg V-up,abdominals
FYR Bear Crawl Shoulder Tap,abdominals
Alternating single-leg sprawl,abdominals
Wide mountain climber,abdominals
Plank leg raise,abdominals
Glute bridge step-out,abdominals
Knee up-down,abdominals
FYR Sprawl,abdominals
Reach crunch,abdominals
FYR Push-Up Plank Hold,abdominals
FYR Hollow-Body Rock,abdominals
V-up plus knee-to-chest combo,abdominals
Side plank lateral raise,abdominals
Superhero burpee,abdominals
Hollow-body abduction,abdominals
FYR Hollow Hold,abdominals
Tip-toe crunch,abdominals
Knee-to-nose pulse,abdominals
Plank walk-out,abdominals
FYR V-Up,abdominals
Long sit-up,abdominals
FYR Breakdancer,abdominals
Seated leg lift,abdominals
Gorilla burpee,abdominals
Knee-in to V-out,abdominals
Bear crawl push-up,abdominals
FYR Front Step,abdominals
Plank reach,abdominals
Eiffel Tower leg raise,abdominals
Straight-arm plank,abdominals
Plank up-down,abdominals
Frog kick,abdominals
FYR Knees to Chest,abdominals
Front kick-through,abdominals
FYR Sit-Up,abdominals
FYR Leg Lift,abdominals
TBS Toes-to-bar,abdominals
FYR Mountain Climber,abdominals
Roman Chair Side Ups,abdominals
Push-Up Roll Out - Gethin Variation,abdominals
Cross-Body Crunch - Gethin Variation,abdominals
Decline leg lift with twist,abdominals
Hanging Leg Raise - Variation Gethin,abdominals
Butterfly crunch,abdominals
Cross-body mountain climber,abdominals
Flat Bench Lying Leg Raise - Gethin Variation,abdominals
Lying leg lift,abdominals
Hanging alternating single-leg raise,abdominals
Plank Walk,abdominals
Sit-Up - Gethin Variation,abdominals
Plank Push-Up,abdominals
Decline crunch-,abdominals
Alternating lying leg raise,abdominals
Decline leg lift,abdominals
Crunch - Gethin Variation,abdominals
Plank - Gethin Variation,abdominals
Barbell floor wiper,abdominals
Prison Push-Up,abdominals
McGill Modified Curl-Up,abdominals
Cross-body toe-touch,abdominals
Toy soldier,abdominals
Natural Glute Ham Raise with Stability Ball,abdominals
Lateral ape,abdominals
Hollow-body knee tuck,abdominals
HM Air Jumping Rope,abdominals
HM Alternating Lunge Reach,abdominals
HM Alternating Side Plank Reach,abdominals
HM Superman Plank,abdominals
HM Table Pose,abdominals
HM Toe Touch,abdominals
HM Right Side Bird-Dog,abdominals
HM Right Side Crunch,abdominals
HM Bicycle,abdominals
HM Bird-Dog Plank,abdominals
HM Boat Pose,abdominals
HM Bottoms Up,abdominals
HM Bridge,abdominals
HM Running Man Crunch,abdominals
HM Seated Twist,abdominals
HM Side-Bend Pose,abdominals
HM Side-Plank Arm Wrap,abdominals
HM Side-Plank with Hip Touch,abdominals
HM Side-Plank with Kick,abdominals
HM Side V-Up,abdominals
HM Crab Crunch,abdominals
HM Cross-Over Crunch,abdominals
HM Crunch Pulse,abdominals
HM Dead Bug,abdominals
HM Single-Leg Inchworm,abdominals
HM Floor Jack,abdominals
HM Floor Wiper,abdominals
HM Floor Kick,abdominals
HM Sit-Up,abdominals
HM Slow Mountain Climber,abdominals
HM Slow Sit-Up,abdominals
HM Half-Up,abdominals
HM Hollow-Body Pulse,abdominals
HM Hollow Hold,abdominals
HM Inchworm,abdominals
HM Right Side Hollow Hold with Pulse,abdominals
HM Reverse Crunch with Frisbee,abdominals
HM Left Side Bird-Dog,abdominals
HM Left Side Crunch,abdominals
HM Left Side Hollow Hold With Pulse,abdominals
HM Reverse Crunch,abdominals
HM Low Lunge With External Twist And Arm Reach,abdominals
HM Mountain Climber,abdominals
HM Prison Sit-Up,abdominals
HM Plank Alternating Hip-Dip,abdominals
HM Tuck-Up Get-Up,abdominals
HM Flutter Kick,abdominals
HM Plank,abdominals
McGill Pull-Up,abdominals
AM Leg Lift,abdominals
AM Decline Abs,abdominals
Hanging crunch,abdominals
Tyler Holt Hanging Toes-To-Bar,abdominals
Side plank,abdominals
Bird dog-,abdominals
Single-leg curl up,abdominals
Single-kettlebell windmill,abdominals
UNS Foam Roll Thigh,abdominals
UNS Inverted row,abdominals
UNS T-spine rotation with reach,abdominals
UNS Quadruped thoracic rotation,abdominals
UNS Pec stretch,abdominals
UNS Lat stretch,abdominals
UNS Foam Roll,abdominals
UNS Foam Roll Lats,abdominals
UNS Rocking Adductor Stretch,abdominals
UNS Bird Dog,abdominals
UNS Jumping Jack,abdominals
Ab wheel roll-out,abdominals
Bench mountain climber,abdominals
Feet-elevated bench side plank,abdominals
Cross-body sit-up,abdominals
Decline kayak,abdominals
30 Decline Reverse Crunch,abdominals
Decline sit-up twist,abdominals
30 Flat Bench Leg Raise,abdominals
30 Flutter Kick,abdominals
Chin-up crunch,abdominals
30 Gorilla Chin Oblique Crunch,abdominals
Half Turkish get-up,abdominals
30 Hanging Oblique Crunch,abdominals
30 Hollow-Body Hold,abdominals
Parallel bars knee raise,abdominals
30 Landmine Twist,abdominals
Parallel bars leg raise,abdominals
Otis-up-,abdominals
30 Shoulder Tap,abdominals
30 Spider Crawl,abdominals
Spider crunch,abdominals
Toe-touch,abdominals
30 Hanging Toes-To-Bar,abdominals
30 V-Up,abdominals
Cocoon crunch,abdominals
Bench oblique crunch,abdominals
Full moon-,abdominals
Push-up to side plank,abdominals
Tyler Holt V-Up,abdominals
Tyler Holt Plank,abdominals
Tyler Holt Hip-Dip,abdominals
Suicides,abdominals
Holman Towel Straight Plank Jack,abdominals
Holman Towel Hill Climber,abdominals
Holman Towel Elbow Plank Jack,abdominals
Holman Towel Elbow Plank Pike,abdominals
Holman Towel Straight Plank Hand Reach,abdominals
Holman Towel Wax-On Wax-Off,abdominals
Holman Towel Wide Hill Climber,abdominals
Holman Towel Dirty Dog,abdominals
Holman Straight Plank Shoulder Tap,abdominals
Holman Killer Abs,abdominals
Holman Straight Plank Split Jack,abdominals
Holman Elbow Plank Swim,abdominals
Holman Elbow Plank Saw,abdominals
Holman Feet-Elevated Straight Plank Toe-Tap Series,abdominals
Holman Elbow Plank Pike Pull,abdominals
Holman Hand-Elevated Walk-Over Push-Up,abdominals
Holman Hands-Elevated Hill Climber,abdominals
Holman Seated Pike,abdominals
Holman Feet-Elevated Up-Down Plank,abdominals
Holman Feet-Elevated Hand Tap,abdominals
Holman Reverse Straight Plank with Alternating Heel Pull-In,abdominals
Holman Elbow Plank,abdominals
Holman Straight Plank Squat Thrust,abdominals
Holman Alternating Single-Leg Pike,abdominals
Holman Knee Pull-In Crunch,abdominals
Holman Straight Plank with Hand Tap,abdominals
Holman Straight Plank with Dirty Dog,abdominals
Holman Elbow Plank Roll,abdominals
Holman Froggy Push-Up,abdominals
Holman Straight Plank Hand Tap to Shoulder Tap,abdominals
Holman In-Out Straight Plank,abdominals
Holman Bicycle,abdominals
Holman Alternating Diagonal Knee Pull-in,abdominals
Holman Elbow Plank with Step-Out,abdominals
Holman Alternating Slow L-Raise,abdominals
Holman Feet-Elevated Plank with Shoulder Tap,abdominals
Holman Feet-Elevated Inchworm Pike to Straight Plank Push-Up,abdominals
Holman Feet-Elevated Up-Down Elbow Plank,abdominals
Holman Feet-Elevated Plank Pike Pull,abdominals
Holman Feet-Elevated Alternating Single-Leg Hip Raise,abdominals
Holman Feet-Elevated Plank Pike Pull to Push-Up,abdominals
Holman Standing Heel Click,abdominals
Holman Straight Plank Right-Left Jack to Split Jack,abdominals
Holman Elbow Plank Jack to Ninja Knees,abdominals
Holman Right Side Elbow Plank with Left Leg Swing,abdominals
Holman Left Side Elbow Plank with Right Leg Swing,abdominals
Holman Straight Plank with Alternating Diagonal Sit-Back,abdominals
Holman Boat Press with Leg Extension,abdominals
Holman Shoulder Tap to Dirty Dog,abdominals
Holman Standing Russian Twist,abdominals
Holman Hovering Plank with Shoulder Tap,abdominals
Holman Elbow Plank to Stacked Plank Hip Drop,abdominals
Holman Elbow Plank to Walk-Up Pike,abdominals
Holman Hill Climber,abdominals
Holman Straight Plank Pike to Renegade Row,abdominals
Holman Alternating Hip Drop to Push-Up,abdominals
Holman Crab Kick,abdominals
Holman Wounded Bear Crawl,abdominals
Holman Alternating Crab Reach,abdominals
Holman Hovering Panther Core Stabilizer,abdominals
Holman Burpee to Forward Lunge,abdominals
Holman Seated Knee Pull-In Series,abdominals
Holman Elbow Plank Pike,abdominals
Holman Elbow Plank Jack to Straight Plank Split Jack,abdominals
Holman Boat Pull-Over,abdominals
Holman Squat Pulse to Plyometric Jump,abdominals
Holman Hands Down Heel Click,abdominals
Holman Straight Plank to Kick-Up,abdominals
Holman Hands-Elevated Split Jack,abdominals
Holman Feet-Elevated Plank Reach,abdominals
Holman Hand-Elevated Side Plank Semicircle,abdominals
Holman Hands-Elevated Straight Plank Pike,abdominals
Holman Alternating Rolling Elbow Plank,abdominals
Holman Elbow Plank Jack,abdominals
Holman Squat Thrust to Alternating Knee-In,abdominals
Holman Supine Double Pike,abdominals
Holman Elbow Plank Alternating Pike,abdominals
Holman Seated Killer Abs,abdominals
Holman Side Plank Hip Drop,abdominals
Holman Wide Hill Climber,abdominals
Holman Straight-Legged Bicycle,abdominals
Holman Stair Toe Tap,abdominals
Holman Elbow Plank Ninja,abdominals
Holman Traveling Stair Climb Push-Up,abdominals
Holman Hands-Elevated Burpee,abdominals
Holman Straight Plank Donkey Kick,abdominals
Holman Feet-Elevated Straight Plank Pike Pull,abdominals
Holman Towel Burpee,abdominals
Holman Elbow Plank to Alternating Side Plank Crunch,abdominals
Holman Straight-Legged Hip Raise,abdominals
Holman Feet-Elevated Hill Climber,abdominals
Holman Ninja Knee Hill Climber,abdominals
Holman Feet-Elevated Shoulder Tap,abdominals
Holman Feet-Elevated Hip Raise,abdominals
Holman Left Hand Right Foot Crab Reach,abdominals
Holman Alternating Crab Flip to Froggy Push-Up to Kicks,abdominals
Holman Right Hand Left Foot Sleeping Crab,abdominals
Holman Left Hand Right Foot Sleeping Crab,abdominals
Holman Straight Plank with Alternating Leg Kick-Under,abdominals
Holman Right Hip Drop Push-Up,abdominals
Holman Right Side Diagonal Burpee,abdominals
Holman Left Hip Drop Push-Up,abdominals
Holman Right Leg 7-Up Crunch,abdominals
Holman Left Leg 7-Up Crunch,abdominals
Holman Straight Plank Jack,abdominals
Holman Feet-Elevated Couch Hill Climber,abdominals
Holman Feet-Elevated Right Side Plank,abdominals
Holman Alternating Up-Down Plank to Push-Up,abdominals
Holman Straight Plank Pike,abdominals
Holman Ninja Knee Straight Plank,abdominals
Holman Reverse Crunch to Hip Raise,abdominals
Holman Straight Plank Quick Reach,abdominals
Holman Alternating Diagonal Straight Plank,abdominals
Holman Feet-Elevated Left Side Plank,abdominals
Holman Right Hand Left Foot Crab Reach,abdominals
Holman Low-Impact Crab Kick,abdominals
Holman Alternating Crab Flip to Froggy Push-Up,abdominals
Holman High-Impact Crab Kick,abdominals
Holman Single-Leg Right Pike,abdominals
Holman Single-Leg Left Pike,abdominals
Holman Shoulder Tap to Hand Tap,abdominals
Holman Towel Reverse Plank Jack,abdominals
Holman Side-to-Side Twist,abdominals
Holman Crab Kick with Hop,abdominals
Holman Crab Reach to Crab Kick,abdominals
Holman Wide Squat Side-to-Side Obliques,abdominals
Holman Side Plank Crunch,abdominals
Total Fitness Ab Tuck,abdominals
Active hang from bar,abdominals
Cat-cow,abdominals
Crab walk,abdominals
Lunge with overhead reach,abdominals
Hang from bar,abdominals
Total Fitness Hollow Hold,abdominals
Total Fitness Side Plank,abdominals
Side plank pulse,abdominals
Total Fitness Spider Crawl (Unweighted),abdominals
Total Fitness V-Up,abdominals
MetaBurn Alternating Knee-to-Elbow Mountain Climber,abdominals
Alternating sit-through with crunch-,abdominals
MetaBurn Alternating Toe-Touch,abdominals
MetaBurn Janda Sit-Up,abdominals
MetaBurn Oblique Roll Crunch,abdominals
MetaBurn Plank Jack,abdominals
MetaBurn Plank To Alternating Side Plank,abdominals
MetaBurn Plank Up-Down,abdominals
MetaBurn Plank Wiper,abdominals
MetaBurn Plank With Alternating Toe-Touch,abdominals
MetaBurn Plyo Push-Up,abdominals
MetaBurn Psycho Crunch,abdominals
MetaBurn Scapular Retraction Plank,abdominals
MetaBurn Scapular Retraction Plank Hold,abdominals
MetaBurn Scorpion,abdominals
MetaBurn Side Crawler,abdominals
MetaBurn Side Plank Oblique Crunch,abdominals
MetaBurn Sit-Through,abdominals
MetaBurn Sit-Up To V-Up,abdominals
MetaBurn Sit-Up With Rotation,abdominals
MetaBurn Split-Leg Crunch,abdominals
MetaBurn Tabletop Hip Thrust,abdominals
MetaBurn Tabletop With Russian Kick,abdominals
MetaBurn Toe Driver Abs,abdominals
MetaBurn-V-Up,abdominals
X-body V-up,abdominals
MetaBurn Swivel Crunch,abdominals
Robertson Core-Engaged Dead Bug,abdominals
FYR2 Double-Under,abdominals
FYR2 Fire Feet with Burpee Tuck Jump Drill,abdominals
FYR2 Flutter Kick,abdominals
FYR2 Half-Moon,abdominals
FYR2 Leopard Crawl,abdominals
FYR2 Plank Alternating Front Step,abdominals
FYR2 Shoulder Tap,abdominals
Hand shift plank,abdominals
Cross-body plank march,abdominals
Bent-knee Copenhagen hip adduction,abdominals
Copenhagen plank,abdominals
ACFT Hanging leg tuck,abdominals
Alternating hanging knee raise,abdominals
Plank To Sphinx,abdominals
Twisting Mountain Climbers,abdominals
Jack Knives,abdominals
Hanging Leg Raises,abdominals
Dumbbell suitcase crunch,abdominals
Medicine ball rotational throw,abdominals
Hollow-hold ball toss,abdominals
Partner front Russian twist and pass,abdominals
Sit-up with single-arm overhand throw,abdominals
Medicine ball partner twist,abdominals
Partner side Russian twist and pass,abdominals
Medicine ball half moon,abdominals
Exercise ball roll-out,abdominals
Medicine ball pass,abdominals
Partner medicine ball sit-up,abdominals
Medicine ball Russian twist,abdominals
30 Medicine Ball Slam,abdominals
Medicine ball twist,abdominals
FYR2 Medicine Ball Complex,abdominals
FYR2 Medicine Ball Fire-Feet Drill,abdominals
FYR2 Medicine Ball Knees-to-Chest,abdominals
FYR2 Medicine Ball Mountain Climber,abdominals
Decline oblique crunch,abdominals
Decline sit-up,abdominals
Hanging Windshield Wiper,abdominals
Exercise Ball Pull-In,abdominals
Exercise ball crunch,abdominals
Feet-elevated crunch,abdominals
Weighted Ball Side Bend,abdominals
Swiss Ball Ab Roll-Out,abdominals
Exercise ball squat and twist,abdominals
Swiss Ball V-Up With Foot Pass,abdominals
Exercise ball pike,abdominals
Exercise ball bird dog,abdominals
Exercise ball superman,abdominals
BOSU cross-body crunch,abdominals
Exercise Ball Knee Tuck - Gethin Varation,abdominals
Alternating Exercise Ball Knee Tucks - Gethin Variation,abdominals
AM Ball Crunch,abdominals
30 Bosu Cable Reverse Crunch,abdominals
BOSU knee tuck,abdominals
30 Side Plank On Ball,abdominals
Hanging exercise ball leg raise,abdominals
Taylor Exercise Ball Stir-The-Pot,abdominals
FYR2 Air Ball,abdominals
Feet-elevated plank on ball,abdominals
Band Hip Adductions,adductors
Lateral Band Walk,abductors
FYR2 Standing Banded Leg Abduction,abductors
Iliotibial band SMR,abductors
Adductor SMR,adductors
Lying Bent Leg Groin,adductors
Lateral box jump,adductors
Thigh adductor,adductors
Thigh abductor,abductors
Standing Hip Circles,abductors
Groiners,adductors
Fire Hydrant,abductors
Windmills,abductors
Side Leg Raises,adductors
Lateral hop,adductors
Monster Walk,abductors
Side Lying Groin Stretch,adductors
IT Band and Glute Stretch,abductors
Single-leg lying cross-over stretch,abductors
Carioca quick step,adductors
Standing hip circle,abductors
Lateral cone hop,adductors
Side-To-Side Adductor Stretch,adductors
Dynamic pigeon stretch,abductors
Cross-over jack,abductors
Traveling thigh killa,abductors
FYR Thigh Killa,abductors
HM Straddle Stretch,abductors
HM Right Leg Swing,abductors
HM Right Side-Kick,abductors
HM Frog Stretch,abductors
HM Kick-Out,abductors
HM Left Leg Swing,adductors
UNS Foam Roll Adductor,adductors
MetaBurn Groiner,abductors
Side-lying leg adduction scissor,adductors
Groin and Back Stretch,adductors
Adductor/Groin,adductors
Incline dumbbell biceps curl,biceps
Banded biceps curl in squat position,biceps
Banded Hammer Press - Gethin Variation,biceps
Band standing concentration curl,biceps
Brachialis SMR,biceps
Wide-grip barbell curl,biceps
EZ-bar spider curl,biceps
Barbell Curl,biceps
Close-grip EZ-bar curl,biceps
Preacher Curl,biceps
Barbell Curls Lying Against An Incline,biceps
Seated Close-Grip Concentration Barbell Curl,biceps
Close-grip barbell curl,biceps
Drag curl,biceps
Reverse-grip barbell curl,biceps
Lying High Bench Barbell Curl,biceps
Seated wide-grip curl to close-grip curl,biceps
Seated Straigh-Bar Curl Superset,biceps
Dave Draper Forehead Curl,biceps
Reverse-grip EZ-bar curl,biceps
EZ-Bar Spider Curl - Gethin Variation,biceps
Barbell curl-,biceps
Paul Carter Barbell Curl,biceps
Standing band biceps curl,biceps
Close-Grip EZ-Bar Curl - Gethin Variation,biceps
Seated Barbell Curl,biceps
AM Standing Barbell Curl,biceps
EZ-bar preacher curl,biceps
30 Arms Standing Barbell Curl,biceps
30 Arms Incline Biceps Curl,biceps
"Bicep Curls ""21s""",biceps
Incline Hammer Curls,biceps
Hammer Curls,biceps
Biceps curl to shoulder press,biceps
Concentration curl,biceps
Flexor Incline Dumbbell Curls,biceps
Dumbbell Bicep Curl,biceps
Cross-body hammer curl,biceps
Dumbbell Alternate Bicep Curl,biceps
Single-arm dumbbell preacher curl,biceps
Alternate Incline Dumbbell Curl,biceps
Standing concentration curl,biceps
Alternating incline dumbbell biceps curl,biceps
Alternate Hammer Curl,biceps
Seated dumbbell biceps curl,biceps
Preacher Hammer Dumbbell Curl,biceps
Dumbbell preacher curl,biceps
Lying Supine Dumbbell Curl,biceps
Standing Dumbbell Reverse Curl,biceps
Palms-out incline biceps curl,biceps
Straight-arm plank with biceps curl,biceps
Face-down incline dumbbell biceps curl,biceps
Seated Dumbbell Inner Biceps Curl,biceps
Standing Inner-Biceps Curl,biceps
