exercise_name,equipment_name
Holman Straight Plank Dumbbell Reach-Under,dumbbell
Holman Straight-Arm Side Plank Overhead Press to Chest Press,dumbbell
Holman Weighted Burpee to Pike,dumbbell
Holman Straight-Legged Boat Chest Press,dumbbell
Holman Weighted Burpee to Side Delt Raise,dumbbell
Holman Heavy Double Pike,dumbbell
Holman Heavy Double Split Pike,dumbbell
MetaBurn Alternating Dumbbell Sit-Through,dumbbell
MetaBurn Alternating Plank Row With Dumbbell Pull-Through,dumbbell
MetaBurn Alternating Plank Row With Push-Up,dumbbell
MetaBurn Dumbbell Russian Twist,dumbbell
MetaBurn Dumbbell Toe-Touch,dumbbell
MetaBurn Plank To Alternating Row,dumbbell
Standing dumbbell knee crunch-,dumbbell
MetaBurn Plank With Dumbbell Rotation,dumbbell
FYR2 Dumbbell Crab Reach,dumbbell
FYR2 Dumbbell Man-Maker,dumbbell
FYR2 Dumbbell Sit-Up Reach,dumbbell
FYR2 Loaded Beast Sprawl,dumbbell
FYR2 Loaded to Unloaded Beast,dumbbell
Lying Leg Pullover,dumbbell
Landmine twist,other
Suspended ab fall-out,other
Decline reverse crunch,other
Plate Twist,other
Weighted Crunches,other
Ab Roller,other
Otis-Up,other
Captain's chair knee raise,other
Sledgehammer swing,other
Pallof press,other
Weighted Sit-Ups - With Bands,other
Suitcase crunch,other
FYR Rope Jumping,other
Barbell press sit-up,other
Single-arm bent-over rear delt fly,other
Captain's chair leg raise,other
Shoulder-Elevated One-Leg Hip Thrusts,other
Ab Twist - Gethin Variation,other
Weighted Crunch - Gethin Variation,other
Ab Wheel Roll-Out - Gethin Variation,other
Bench crunch,other
Decline plate sit-up twist,other
Reverse ab roll-out,other
30 Seated Twist With PVC Pipe,other
Suspended crunch-,other
Suspended oblique crunch,other
Weighted sit-up,other
30 Decline Press Sit-Up,other
Holman Towel Reverse Plank Alternating Heel Pull-in,other
Holman Boat with Weighted Cross Punch,other
Holman Weighted Hook Punch,other
Holman Weighted Traveling Punch,other
Holman Weighted Uppercut Punch,other
Holman Slow Weighted Double Pike,other
Holman Plate Straight Plank Reach,other
Holman Plate Elbow Plank Jack to Straight Plank Jack,other
Holman Plate Hill Climber,other
Holman Plate Reverse Plank Hill Climber,other
Holman Plate Straight Plank Pike to Jack,other
Holman Plate In-and-Out Push-Up,other
Holman Plate Burpee,other
Holman Plate Elbow Plank Reach,other
Holman Elbow Plank to Renegade Row,other
Holman Straight Plank Weighted Hand Hill Climber,other
Holman Weighted Left Side Diagonal Pike,other
Holman Weighted Right Side Diagonal Pike,other
Holman Weighted W-Boat to Overhead Press,other
Holman Weighted Kneeling Lift,other
Holman Hips-Up Weighted Pull-Over,other
Holman Weighted Cross Punch,other
Holman Straight-Leg Boat Hover Chest Press,other
Holman Weighted Pike,other
Holman Feet-Elevated Wax-On Wax-Off,other
Holman Elbow Plank to Towel Pike,other
Holman Seated Killer Abs Overhead Press,other
Holman Straight Plank Alternating Weighted Open,other
Holman Weighted Killer Abs with Overhead Press,other
Holman Weighted Split-Leg Pike,other
Holman Towel Reverse Plank Heel Pull-in,other
Stick Twist,other
Roc Everest,other
Standing cable low-to-high twist,cable
Single-arm high-cable side bend,cable
Kneeling cable oblique crunch,cable
Kneeling cable crunch,cable
Rope Crunch,cable
Standing cable crunch,cable
Bosu Ball Cable Crunch With Side Bends,cable
Standing Cable Wood Chop,cable
Cable reverse crunch,cable
Cable Russian Twists,cable
Pallof press with rotation,cable
Cable Seated Crunch,cable
Cable Judo Flip,cable
Exercise Ball Cable Crunch - Gethin Variation,cable
Standing cable high-to-low twist,cable
Bent-Over Reverse Cable Fly,cable
Standing Cable Crunch - Gethin Variation,cable
AM Cable Crunch,cable
Tyler Holt Weighted Knee-To-Chest Crunch,cable
Standing cable twist,cable
30 Cable Rope Crunch,cable
30 Cable Rope Oblique Crunch,cable
Cable lying twist on ball,cable
30 Cable Pallof Press,cable
30 Cable Reverse Crunch On Ball,cable
30 Cable Reverse Crunch,cable
Tyler Holt Cable Torso Twist,cable
Single-Arm Cable Outward-Facing Biceps Curl,cable
Biceps Rope Curl,cable
Kneeling Cable Crunches,cable
Ab Crunch Machine,machine
Smith machine straight-legged hip raise,machine
Machine crunch,machine
AM Ab Machine,machine
Smith machine V-up,machine
Elbow plank,bodyweight
Bottoms Up,bodyweight
Spider crawl,bodyweight
Cocoons,bodyweight
Cross-Body Crunch,bodyweight
Elbow-to-knee crunch,bodyweight
Decline Crunch,bodyweight
Hanging toes-to-bar,bodyweight
Hanging Oblique Knee Raise,bodyweight
Gorilla Chin/Crunch,bodyweight
Hanging leg raise,bodyweight
Mountain climber,bodyweight
Ab bicycle,bodyweight
3/4 sit-up,bodyweight
Reverse crunch,bodyweight
Crunches,bodyweight
Dead bug reach,bodyweight
Crunch - Hands Overhead,bodyweight
V-up,bodyweight
Stomach Vacuum,bodyweight
Russian twist,bodyweight
Flat Bench Lying Leg Raise,bodyweight
Knees tucked crunch,bodyweight
Butt-Ups,bodyweight
Feet-elevated oblique crunch,bodyweight
Bent-knee reverse crunch,bodyweight
Alternating heel-touch,bodyweight
Suspended Reverse Crunch,bodyweight
Lying bench reverse crunch,bodyweight
Sit-up,bodyweight
Side Bridge,bodyweight
Lying oblique crunch,bodyweight
Janda Sit-Up,bodyweight
Leg Pull-In,bodyweight
Side Jackknife,bodyweight
Scissor Kick,bodyweight
Toe Touchers,bodyweight
Lower Back Curl,bodyweight
Exercise ball torso rotation,bodyweight
Seated Overhead Stretch,bodyweight
Overhead Stretch,bodyweight
Seated Scissor Kick,bodyweight
Partner resistance standing twist,bodyweight
Cross Crunch,bodyweight
Full Moon,bodyweight
Hanging knee raise with manual resistance,bodyweight
Straight-Legged Hip Raise,bodyweight
Wall mountain climber,bodyweight
Skin The Cat To Push-Up,bodyweight
Partner lying leg raise with lateral throw down,bodyweight
Hanging leg raise with throw down,bodyweight
Partner sit-up with high-five,bodyweight
Exercise ball knee roll-in,bodyweight
Partner lying leg raise with throw down,bodyweight
Crab toe-touch,bodyweight
Side kick-through,bodyweight
Partner target sit-up,bodyweight
Suspended Crunch,bodyweight
Jump Lunge,bodyweight
Side plank hip dip,bodyweight
Elbow plank jack,bodyweight
Exercise ball V-up,bodyweight
Standing torso twist stretch,bodyweight
Slalom jumps,bodyweight
Bear crawl,bodyweight
Crab single-arm reach,bodyweight
Side lunge cross-body heel-touch,bodyweight
Alligator Crawl,bodyweight
Lying cross-over lower back stretch,bodyweight
Half bird dog,bodyweight
Shoulder tap,bodyweight
Double crunch,bodyweight
Flutter kick,bodyweight
Sprawl,bodyweight
Spider plank jack,bodyweight
Pillar-To-Plank,bodyweight
Alternating High Knee Raise,bodyweight
Sumo Squat Pulse,bodyweight
Line-Drill Foot Work,bodyweight
Plank Fire Hydrants,bodyweight
Banded jumping jack,bodyweight
Shin hug,bodyweight
FYR Bear Crawl Fire Feet,bodyweight
Bear crawl up-down,bodyweight
FYR Crab Kick,bodyweight
Bear crawl hold,bodyweight
Traveling bear crawl,bodyweight
Single-leg V-up,bodyweight
FYR Bear Crawl Shoulder Tap,bodyweight
Alternating single-leg sprawl,bodyweight
Wide mountain climber,bodyweight
Plank leg raise,bodyweight
Glute bridge step-out,bodyweight
Knee up-down,bodyweight
FYR Sprawl,bodyweight
Reach crunch,bodyweight
FYR Push-Up Plank Hold,bodyweight
FYR Hollow-Body Rock,bodyweight
V-up plus knee-to-chest combo,bodyweight
Side plank lateral raise,bodyweight
Superhero burpee,bodyweight
Hollow-body abduction,bodyweight
FYR Hollow Hold,bodyweight
Tip-toe crunch,bodyweight
Knee-to-nose pulse,bodyweight
Plank walk-out,bodyweight
FYR V-Up,bodyweight
Long sit-up,bodyweight
FYR Breakdancer,bodyweight
Seated leg lift,bodyweight
Gorilla burpee,bodyweight
Knee-in to V-out,bodyweight
Bear crawl push-up,bodyweight
FYR Front Step,bodyweight
Plank reach,bodyweight
Eiffel Tower leg raise,bodyweight
Straight-arm plank,bodyweight
Plank up-down,bodyweight
Frog kick,bodyweight
FYR Knees to Chest,bodyweight
Front kick-through,bodyweight
FYR Sit-Up,bodyweight
FYR Leg Lift,bodyweight
TBS Toes-to-bar,bodyweight
FYR Mountain Climber,bodyweight
Roman Chair Side Ups,bodyweight
Push-Up Roll Out - Gethin Variation,bodyweight
Cross-Body Crunch - Gethin Variation,bodyweight
Decline leg lift with twist,bodyweight
Hanging Leg Raise - Variation Gethin,bodyweight
Butterfly crunch,bodyweight
Cross-body mountain climber,bodyweight
Flat Bench Lying Leg Raise - Gethin Variation,bodyweight
Lying leg lift,bodyweight
Hanging alternating single-leg raise,bodyweight
Plank Walk,bodyweight
Sit-Up - Gethin Variation,bodyweight
Plank Push-Up,bodyweight
Decline crunch-,bodyweight
Alternating lying leg raise,bodyweight
Decline leg lift,bodyweight
Crunch - Gethin Variation,bodyweight
Plank - Gethin Variation,bodyweight
Barbell floor wiper,bodyweight
Prison Push-Up,bodyweight
McGill Modified Curl-Up,bodyweight
Cross-body toe-touch,bodyweight
Toy soldier,bodyweight
Natural Glute Ham Raise with Stability Ball,bodyweight
Lateral ape,bodyweight
Hollow-body knee tuck,bodyweight
HM Air Jumping Rope,bodyweight
HM Alternating Lunge Reach,bodyweight
HM Alternating Side Plank Reach,bodyweight
HM Superman Plank,bodyweight
HM Table Pose,bodyweight
HM Toe Touch,bodyweight
HM Right Side Bird-Dog,bodyweight
HM Right Side Crunch,bodyweight
HM Bicycle,bodyweight
HM Bird-Dog Plank,bodyweight
HM Boat Pose,bodyweight
HM Bottoms Up,bodyweight
HM Bridge,bodyweight
HM Running Man Crunch,bodyweight
HM Seated Twist,bodyweight
HM Side-Bend Pose,bodyweight
HM Side-Plank Arm Wrap,bodyweight
HM Side-Plank with Hip Touch,bodyweight
HM Side-Plank with Kick,bodyweight
HM Side V-Up,bodyweight
HM Crab Crunch,bodyweight
HM Cross-Over Crunch,bodyweight
HM Crunch Pulse,bodyweight
HM Dead Bug,bodyweight
HM Single-Leg Inchworm,bodyweight
HM Floor Jack,bodyweight
HM Floor Wiper,bodyweight
HM Floor Kick,bodyweight
HM Sit-Up,bodyweight
HM Slow Mountain Climber,bodyweight
HM Slow Sit-Up,bodyweight
HM Half-Up,bodyweight
HM Hollow-Body Pulse,bodyweight
HM Hollow Hold,bodyweight
HM Inchworm,bodyweight
HM Right Side Hollow Hold with Pulse,bodyweight
HM Reverse Crunch with Frisbee,bodyweight
HM Left Side Bird-Dog,bodyweight
HM Left Side Crunch,bodyweight
HM Left Side Hollow Hold With Pulse,bodyweight
HM Reverse Crunch,bodyweight
HM Low Lunge With External Twist And Arm Reach,bodyweight
HM Mountain Climber,bodyweight
HM Prison Sit-Up,bodyweight
HM Plank Alternating Hip-Dip,bodyweight
HM Tuck-Up Get-Up,bodyweight
HM Flutter Kick,bodyweight
HM Plank,bodyweight
McGill Pull-Up,bodyweight
AM Leg Lift,bodyweight
AM Decline Abs,bodyweight
Hanging crunch,bodyweight
Tyler Holt Hanging Toes-To-Bar,bodyweight
Side plank,bodyweight
Bird dog-,bodyweight
Single-leg curl up,bodyweight
Single-kettlebell windmill,bodyweight
UNS Foam Roll Thigh,bodyweight
UNS Inverted row,bodyweight
UNS T-spine rotation with reach,bodyweight
UNS Quadruped thoracic rotation,bodyweight
UNS Pec stretch,bodyweight
UNS Lat stretch,bodyweight
UNS Foam Roll,bodyweight
UNS Foam Roll Lats,bodyweight
UNS Rocking Adductor Stretch,bodyweight
UNS Bird Dog,bodyweight
UNS Jumping Jack,bodyweight
Ab wheel roll-out,bodyweight
Bench mountain climber,bodyweight
Feet-elevated bench side plank,bodyweight
Cross-body sit-up,bodyweight
Decline kayak,bodyweight
30 Decline Reverse Crunch,bodyweight
Decline sit-up twist,bodyweight
30 Flat Bench Leg Raise,bodyweight
30 Flutter Kick,bodyweight
Chin-up crunch,bodyweight
30 Gorilla Chin Oblique Crunch,bodyweight
Half Turkish get-up,bodyweight
30 Hanging Oblique Crunch,bodyweight
30 Hollow-Body Hold,bodyweight
Parallel bars knee raise,bodyweight
30 Landmine Twist,bodyweight
Parallel bars leg raise,bodyweight
Otis-up-,bodyweight
30 Shoulder Tap,bodyweight
30 Spider Crawl,bodyweight
Spider crunch,bodyweight
Toe-touch,bodyweight
30 Hanging Toes-To-Bar,bodyweight
30 V-Up,bodyweight
Cocoon crunch,bodyweight
Bench oblique crunch,bodyweight
Full moon-,bodyweight
Push-up to side plank,bodyweight
Tyler Holt V-Up,bodyweight
Tyler Holt Plank,bodyweight
Tyler Holt Hip-Dip,bodyweight
Suicides,bodyweight
Holman Towel Straight Plank Jack,bodyweight
Holman Towel Hill Climber,bodyweight
Holman Towel Elbow Plank Jack,bodyweight
Holman Towel Elbow Plank Pike,bodyweight
Holman Towel Straight Plank Hand Reach,bodyweight
Holman Towel Wax-On Wax-Off,bodyweight
Holman Towel Wide Hill Climber,bodyweight
Holman Towel Dirty Dog,bodyweight
Holman Straight Plank Shoulder Tap,bodyweight
Holman Killer Abs,bodyweight
Holman Straight Plank Split Jack,bodyweight
Holman Elbow Plank Swim,bodyweight
Holman Elbow Plank Saw,bodyweight
Holman Feet-Elevated Straight Plank Toe-Tap Series,bodyweight
Holman Elbow Plank Pike Pull,bodyweight
Holman Hand-Elevated Walk-Over Push-Up,bodyweight
Holman Hands-Elevated Hill Climber,bodyweight
Holman Seated Pike,bodyweight
Holman Feet-Elevated Up-Down Plank,bodyweight
Holman Feet-Elevated Hand Tap,bodyweight
Holman Reverse Straight Plank with Alternating Heel Pull-In,bodyweight
Holman Elbow Plank,bodyweight
Holman Straight Plank Squat Thrust,bodyweight
Holman Alternating Single-Leg Pike,bodyweight
Holman Knee Pull-In Crunch,bodyweight
Holman Straight Plank with Hand Tap,bodyweight
Holman Straight Plank with Dirty Dog,bodyweight
Holman Elbow Plank Roll,bodyweight
Holman Froggy Push-Up,bodyweight
Holman Straight Plank Hand Tap to Shoulder Tap,bodyweight
Holman In-Out Straight Plank,bodyweight
Holman Bicycle,bodyweight
Holman Alternating Diagonal Knee Pull-in,bodyweight
Holman Elbow Plank with Step-Out,bodyweight
Holman Alternating Slow L-Raise,bodyweight
Holman Feet-Elevated Plank with Shoulder Tap,bodyweight
Holman Feet-Elevated Inchworm Pike to Straight Plank Push-Up,bodyweight
Holman Feet-Elevated Up-Down Elbow Plank,bodyweight
Holman Feet-Elevated Plank Pike Pull,bodyweight
Holman Feet-Elevated Alternating Single-Leg Hip Raise,bodyweight
Holman Feet-Elevated Plank Pike Pull to Push-Up,bodyweight
Holman Standing Heel Click,bodyweight
Holman Straight Plank Right-Left Jack to Split Jack,bodyweight
Holman Elbow Plank Jack to Ninja Knees,bodyweight
Holman Right Side Elbow Plank with Left Leg Swing,bodyweight
Holman Left Side Elbow Plank with Right Leg Swing,bodyweight
Holman Straight Plank with Alternating Diagonal Sit-Back,bodyweight
Holman Boat Press with Leg Extension,bodyweight
Holman Shoulder Tap to Dirty Dog,bodyweight
Holman Standing Russian Twist,bodyweight
Holman Hovering Plank with Shoulder Tap,bodyweight
Holman Elbow Plank to Stacked Plank Hip Drop,bodyweight
Holman Elbow Plank to Walk-Up Pike,bodyweight
Holman Hill Climber,bodyweight
Holman Straight Plank Pike to Renegade Row,bodyweight
Holman Alternating Hip Drop to Push-Up,bodyweight
Holman Crab Kick,bodyweight
Holman Wounded Bear Crawl,bodyweight
Holman Alternating Crab Reach,bodyweight
Holman Hovering Panther Core Stabilizer,bodyweight
Holman Burpee to Forward Lunge,bodyweight
Holman Seated Knee Pull-In Series,bodyweight
Holman Elbow Plank Pike,bodyweight
Holman Elbow Plank Jack to Straight Plank Split Jack,bodyweight
Holman Boat Pull-Over,bodyweight
Holman Squat Pulse to Plyometric Jump,bodyweight
Holman Hands Down Heel Click,bodyweight
Holman Straight Plank to Kick-Up,bodyweight
Holman Hands-Elevated Split Jack,bodyweight
Holman Feet-Elevated Plank Reach,bodyweight
Holman Hand-Elevated Side Plank Semicircle,bodyweight
Holman Hands-Elevated Straight Plank Pike,bodyweight
Holman Alternating Rolling Elbow Plank,bodyweight
Holman Elbow Plank Jack,bodyweight
Holman Squat Thrust to Alternating Knee-In,bodyweight
Holman Supine Double Pike,bodyweight
Holman Elbow Plank Alternating Pike,bodyweight
Holman Seated Killer Abs,bodyweight
Holman Side Plank Hip Drop,bodyweight
Holman Wide Hill Climber,bodyweight
Holman Straight-Legged Bicycle,bodyweight
Holman Stair Toe Tap,bodyweight
Holman Elbow Plank Ninja,bodyweight
Holman Traveling Stair Climb Push-Up,bodyweight
Holman Hands-Elevated Burpee,bodyweight
Holman Straight Plank Donkey Kick,bodyweight
Holman Feet-Elevated Straight Plank Pike Pull,bodyweight
Holman Towel Burpee,bodyweight
Holman Elbow Plank to Alternating Side Plank Crunch,bodyweight
Holman Straight-Legged Hip Raise,bodyweight
Holman Feet-Elevated Hill Climber,bodyweight
Holman Ninja Knee Hill Climber,bodyweight
Holman Feet-Elevated Shoulder Tap,bodyweight
Holman Feet-Elevated Hip Raise,bodyweight
Holman Left Hand Right Foot Crab Reach,bodyweight
Holman Alternating Crab Flip to Froggy Push-Up to Kicks,bodyweight
Holman Right Hand Left Foot Sleeping Crab,bodyweight
Holman Left Hand Right Foot Sleeping Crab,bodyweight
Holman Straight Plank with Alternating Leg Kick-Under,bodyweight
Holman Right Hip Drop Push-Up,bodyweight
Holman Right Side Diagonal Burpee,bodyweight
Holman Left Hip Drop Push-Up,bodyweight
Holman Right Leg 7-Up Crunch,bodyweight
Holman Left Leg 7-Up Crunch,bodyweight
Holman Straight Plank Jack,bodyweight
Holman Feet-Elevated Couch Hill Climber,bodyweight
Holman Feet-Elevated Right Side Plank,bodyweight
Holman Alternating Up-Down Plank to Push-Up,bodyweight
Holman Straight Plank Pike,bodyweight
Holman Ninja Knee Straight Plank,bodyweight
Holman Reverse Crunch to Hip Raise,bodyweight
Holman Straight Plank Quick Reach,bodyweight
Holman Alternating Diagonal Straight Plank,bodyweight
Holman Feet-Elevated Left Side Plank,bodyweight
Holman Right Hand Left Foot Crab Reach,bodyweight
Holman Low-Impact Crab Kick,bodyweight
Holman Alternating Crab Flip to Froggy Push-Up,bodyweight
Holman High-Impact Crab Kick,bodyweight
Holman Single-Leg Right Pike,bodyweight
Holman Single-Leg Left Pike,bodyweight
Holman Shoulder Tap to Hand Tap,bodyweight
Holman Towel Reverse Plank Jack,bodyweight
Holman Side-to-Side Twist,bodyweight
Holman Crab Kick with Hop,bodyweight
Holman Crab Reach to Crab Kick,bodyweight
Holman Wide Squat Side-to-Side Obliques,bodyweight
Holman Side Plank Crunch,bodyweight
Total Fitness Ab Tuck,bodyweight
Active hang from bar,bodyweight
Cat-cow,bodyweight
Crab walk,bodyweight
Lunge with overhead reach,bodyweight
Hang from bar,bodyweight
Total Fitness Hollow Hold,bodyweight
Total Fitness Side Plank,bodyweight
Side plank pulse,bodyweight
Total Fitness Spider Crawl (Unweighted),bodyweight
Total Fitness V-Up,bodyweight
MetaBurn Alternating Knee-to-Elbow Mountain Climber,bodyweight
Alternating sit-through with crunch-,bodyweight
MetaBurn Alternating Toe-Touch,bodyweight
MetaBurn Janda Sit-Up,bodyweight
MetaBurn Oblique Roll Crunch,bodyweight
MetaBurn Plank Jack,bodyweight
MetaBurn Plank To Alternating Side Plank,bodyweight
MetaBurn Plank Up-Down,bodyweight
MetaBurn Plank Wiper,bodyweight
MetaBurn Plank With Alternating Toe-Touch,bodyweight
MetaBurn Plyo Push-Up,bodyweight
MetaBurn Psycho Crunch,bodyweight
MetaBurn Scapular Retraction Plank,bodyweight
MetaBurn Scapular Retraction Plank Hold,bodyweight
MetaBurn Scorpion,bodyweight
MetaBurn Side Crawler,bodyweight
MetaBurn Side Plank Oblique Crunch,bodyweight
MetaBurn Sit-Through,bodyweight
MetaBurn Sit-Up To V-Up,bodyweight
MetaBurn Sit-Up With Rotation,bodyweight
MetaBurn Split-Leg Crunch,bodyweight
MetaBurn Tabletop Hip Thrust,bodyweight
MetaBurn Tabletop With Russian Kick,bodyweight
MetaBurn Toe Driver Abs,bodyweight
MetaBurn-V-Up,bodyweight
X-body V-up,bodyweight
MetaBurn Swivel Crunch,bodyweight
Robertson Core-Engaged Dead Bug,bodyweight
FYR2 Double-Under,bodyweight
FYR2 Fire Feet with Burpee Tuck Jump Drill,bodyweight
FYR2 Flutter Kick,bodyweight
FYR2 Half-Moon,bodyweight
FYR2 Leopard Crawl,bodyweight
FYR2 Plank Alternating Front Step,bodyweight
FYR2 Shoulder Tap,bodyweight
Hand shift plank,bodyweight
Cross-body plank march,bodyweight
Bent-knee Copenhagen hip adduction,bodyweight
Copenhagen plank,bodyweight
ACFT Hanging leg tuck,bodyweight
Alternating hanging knee raise,bodyweight
Plank To Sphinx,bodyweight
Twisting Mountain Climbers,bodyweight
Jack Knives,bodyweight
Hanging Leg Raises,bodyweight
Dumbbell suitcase crunch,medicine ball
Medicine ball rotational throw,medicine ball
Hollow-hold ball toss,medicine ball
Partner front Russian twist and pass,medicine ball
Sit-up with single-arm overhand throw,medicine ball
Medicine ball partner twist,medicine ball
Partner side Russian twist and pass,medicine ball
Medicine ball half moon,medicine ball
Exercise ball roll-out,medicine ball
Medicine ball pass,medicine ball
Partner medicine ball sit-up,medicine ball
Medicine ball Russian twist,medicine ball
30 Medicine Ball Slam,medicine ball
Medicine ball twist,medicine ball
FYR2 Medicine Ball Complex,medicine ball
FYR2 Medicine Ball Fire-Feet Drill,medicine ball
FYR2 Medicine Ball Knees-to-Chest,medicine ball
FYR2 Medicine Ball Mountain Climber,medicine ball
Decline oblique crunch,
Decline sit-up,
Hanging Windshield Wiper,
Exercise Ball Pull-In,exercise ball
Exercise ball crunch,exercise ball
Feet-elevated crunch,exercise ball
Weighted Ball Side Bend,exercise ball
Swiss Ball Ab Roll-Out,exercise ball
Exercise ball squat and twist,exercise ball
Swiss Ball V-Up With Foot Pass,exercise ball
Exercise ball pike,exercise ball
Exercise ball bird dog,exercise ball
Exercise ball superman,exercise ball
BOSU cross-body crunch,exercise ball
Exercise Ball Knee Tuck - Gethin Varation,exercise ball
Alternating Exercise Ball Knee Tucks - Gethin Variation,exercise ball
AM Ball Crunch,exercise ball
30 Bosu Cable Reverse Crunch,exercise ball
BOSU knee tuck,exercise ball
30 Side Plank On Ball,exercise ball
Hanging exercise ball leg raise,exercise ball
Taylor Exercise Ball Stir-The-Pot,exercise ball
FYR2 Air Ball,exercise ball
Feet-elevated plank on ball,exercise ball
Band Hip Adductions,resistance band
Lateral Band Walk,resistance band
FYR2 Standing Banded Leg Abduction,resistance band
Iliotibial band SMR,foam roll
Adductor SMR,foam roll
Lying Bent Leg Groin,other
Lateral box jump,other
Thigh adductor,machine
Thigh abductor,machine
Standing Hip Circles,bodyweight
Groiners,bodyweight
Fire Hydrant,bodyweight
Windmills,bodyweight
Side Leg Raises,bodyweight
Lateral hop,bodyweight
Monster Walk,bodyweight
Side Lying Groin Stretch,bodyweight
IT Band and Glute Stretch,bodyweight
Single-leg lying cross-over stretch,bodyweight
Carioca quick step,bodyweight
Standing hip circle,bodyweight
Lateral cone hop,bodyweight
Side-To-Side Adductor Stretch,bodyweight
Dynamic pigeon stretch,bodyweight
Cross-over jack,bodyweight
Traveling thigh killa,bodyweight
FYR Thigh Killa,bodyweight
HM Straddle Stretch,bodyweight
HM Right Leg Swing,bodyweight
HM Right Side-Kick,bodyweight
HM Frog Stretch,bodyweight
HM Kick-Out,bodyweight
HM Left Leg Swing,bodyweight
UNS Foam Roll Adductor,bodyweight
MetaBurn Groiner,bodyweight
Side-lying leg adduction scissor,bodyweight
Groin and Back Stretch,
Adductor/Groin,
Incline dumbbell biceps curl,resistance band
Banded biceps curl in squat position,resistance band
Banded Hammer Press - Gethin Variation,resistance band
Band standing concentration curl,resistance band
Brachialis SMR,foam roll
Wide-grip barbell curl,barbell
EZ-bar spider curl,barbell
Barbell Curl,barbell
Close-grip EZ-bar curl,barbell
Preacher Curl,barbell
Barbell Curls Lying Against An Incline,barbell
Seated Close-Grip Concentration Barbell Curl,barbell
Close-grip barbell curl,barbell
Drag curl,barbell
Reverse-grip barbell curl,barbell
Lying High Bench Barbell Curl,barbell
Seated wide-grip curl to close-grip curl,barbell
Seated Straigh-Bar Curl Superset,barbell
Dave Draper Forehead Curl,barbell
Reverse-grip EZ-bar curl,barbell
EZ-Bar Spider Curl - Gethin Variation,barbell
Barbell curl-,barbell
Paul Carter Barbell Curl,barbell
Standing band biceps curl,barbell
Close-Grip EZ-Bar Curl - Gethin Variation,barbell
Seated Barbell Curl,barbell
AM Standing Barbell Curl,barbell
EZ-bar preacher curl,barbell
30 Arms Standing Barbell Curl,barbell
30 Arms Incline Biceps Curl,barbell
"Bicep Curls ""21s""",barbell
Incline Hammer Curls,dumbbell
Hammer Curls,dumbbell
Biceps curl to shoulder press,dumbbell
Concentration curl,dumbbell
Flexor Incline Dumbbell Curls,dumbbell
Dumbbell Bicep Curl,dumbbell
